So there is no way for me to plug it in here in the US unless I go by a converter.,0,amazon
"Good case, Excellent value.",1,amazon
Great for the jawbone.,1,amazon
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,amazon
The mic is great.,1,amazon
I have to jiggle the plug to get it to line up right to get decent volume.,0,amazon
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,amazon
If you are Razr owner...you must have this!,1,amazon
"Needless to say, I wasted my money.",0,amazon
What a waste of money and time!.,0,amazon
And the sound quality is great.,1,amazon
He was very impressed when going from the original battery to the extended battery.,1,amazon
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,amazon
Very good quality though,1,amazon
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,amazon
Highly recommend for any one who has a blue tooth phone.,1,amazon
I advise EVERYONE DO NOT BE FOOLED!,0,amazon
So Far So Good!.,1,amazon
Works great!.,1,amazon
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,amazon
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,amazon
I bought this to use with my Kindle Fire and absolutely loved it!,1,amazon
The commercials are the most misleading.,0,amazon
I have yet to run this new battery below two bars and that's three days without charging.,1,amazon
I bought it for my mother and she had a problem with the battery.,0,amazon
Great Pocket PC / phone combination.,1,amazon
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,amazon
I didn't think that the instructions provided were helpful to me.,0,amazon
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,amazon
Doesn't hold charge.,0,amazon
"This is a simple little phone to use, but the breakage is unacceptible.",0,amazon
This product is ideal for people like me whose ears are very sensitive.,1,amazon
It is unusable in a moving car at freeway speed.,0,amazon
I have two more years left in this contract and I hate this phone.,0,amazon
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,amazon
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,amazon
It has kept up very well.,1,amazon
Poor Talk Time Performance.,0,amazon
The case is great and works fine with the 680.,1,amazon
worthless product.,0,amazon
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,amazon
I was not impressed by this product.,0,amazon
Nice headset priced right.,1,amazon
I only hear garbage for audio.,0,amazon
Excellent bluetooth headset.,1,amazon
It has all the features I want,1,amazon
Who in their right mind is gonna buy this battery?.,0,amazon
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,amazon
This case seems well made.,1,amazon
Disappointed with battery.,0,amazon
Not loud enough and doesn't turn on like it should.,0,amazon
good protection and does not make phone too bulky.,1,amazon
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,amazon
This phone is pretty sturdy and I've never had any large problems with it.,1,amazon
I love this thing!,1,amazon
Everything about it is fine and reasonable for the price i.e.,1,amazon
VERY DISAPPOINTED.,0,amazon
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,amazon
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,amazon
The buttons for on and off are bad.,0,amazon
Essentially you can forget Microsoft's tech support.,0,amazon
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,amazon
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,amazon
Buy a different phone - but not this.,0,amazon
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,amazon
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,amazon
